proprietor,Address,Column3,city,city 1,city 2,Column 7,,,Address,city,State 1,Latitude,Longitude,Unit Number,Country
Scofield The Millinery., 105 N. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. You can save money,,,105 N. Spring St.,Los Angeles, CA,34.053069,-118.244543,,US
Scofield The Millinery., 105 N. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. You can save money,,,105 N. Spring St.,Los Angeles, CA,34.053069,-118.244543,,US
The Millinery, 105 N. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. You can save money by,,,105 N. Spring St.,Los Angeles, CA,34.053069,-118.244543,,US
, 111 and 113 E. Colorado st,st,"Pasadena, Cal.",Pasadena, Cal.,"., Pasadena, Cal., before purchasing. They",,,111 and 113 E. Colorado St.,Pasadena, CA,34.13962,-118.180377,,US
, 111 and 113 E. Colorado st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Pasadena, Cal. A piano proposition",,,111 and 113 E. Colorado St.,Los Angeles, CA,34.05804,-118.48292,,US
etc. big reductions, 112 S. Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. opposite Nadeau Hotel Tel,,,112 S. Spring St.,Los Angeles, CA,34.052695,-118.244453,,US
etc. big reductions, 112 S. Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. opposite Nadeau Hotel Tel,,,112 S. Spring St.,Los Angeles, CA,34.052695,-118.244453,,US
big reductions, 112 S. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. opposite Nadeau Hotel Tel. James,,,112 S. Spring St.,Los Angeles, CA,34.052695,-118.244453,,US
, 113 N. Main st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles Tel. Main 176",,,113 N. Main St.,Los Angeles, CA,34.052433,-118.243407,,US
you. Fitzgerald's, 113 S. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles. cash grocery Flint",,,113 S. Spring St.,Los Angeles, CA,34.052682,-118.244463,,US
 Fitzgerald's, 113 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St., Los Angeles. cash grocery",,,113 S. Spring St..,Los Angeles, CA,34.052682,-118.244463,,US
from you. Fitzgerald's, 113 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St., Los Angeles. cash grocery",,,113 S. Spring St..,Los Angeles, CA,34.052682,-118.244463,,US
, 114 1/2 S. Main st,st,"Los Angeles, Cal.",Los Angeles, Cal.,". Spear's Department Store, 171 and",,,114 1/2 S. Main St.,Los Angeles, CA,34.05171,-118.24362,,US
and shoe house, 116 S. Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. Los Angeles, Cal. The",,,116 S. Spring St.,Los Angeles, CA,34.052645,-118.244492,,US
and shoe house, 116 S. Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. Los Angeles, Cal. The",,,116 S. Spring St.,Los Angeles, CA,34.052645,-118.244492,,US
shoe house, 116 S. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,". Los Angeles, Cal. The best",,,116 S. Spring St.,Los Angeles, CA,34.052645,-118.244492,,US
Gardner Piano House, 118 Winston st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. Phone Brown 1225 Los Angeles,,,118 WinSt.on St.,Los Angeles, CA,34.047002,-118.247362,,US
Stubbs' Restaurant, 119 San Pedro st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. A.L. Apffel watchmaker jeweler and,,,119 San Pedro St.,Los Angeles, CA,34.050294,-118.241118,,US
, 119 to 125 N. Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. Underwear for ladies and children,,,119 to 125 N. Spring St.,Los Angeles, CA,33.919198,-118.253,,US
props, 119 to 125 N. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. Underwear for ladies and,,,119 to 125 N. Spring St..,Los Angeles, CA,33.919198,-118.253,,US
