proprietor,Address,city,State 1,Latitude,Longitude,Type
Scofield The Millinery.,105 N. Spring St.,Los Angeles, CA,34.053069,-118.244543,Restaurant
Scofield The Millinery.,105 N. Spring St.,Los Angeles, CA,34.053069,-118.244543,Restaurant
The Millinery,105 N. Spring St.,Los Angeles, CA,34.053069,-118.244543,Restaurant
,111 and 113 E. Colorado St.,Pasadena, CA,34.13962,-118.180377,Restaurant
,111 and 113 E. Colorado St.,Los Angeles, CA,34.05804,-118.48292,Restaurant
etc. big reductions,112 S. Spring St.,Los Angeles, CA,34.052695,-118.244453,Restaurant
etc. big reductions,112 S. Spring St.,Los Angeles, CA,34.052695,-118.244453,Restaurant
big reductions,112 S. Spring St.,Los Angeles, CA,34.052695,-118.244453,Restaurant
,113 N. Main St.,Los Angeles, CA,34.052433,-118.243407,Restaurant
you. Fitzgerald's,113 S. Spring St.,Los Angeles, CA,34.052682,-118.244463,Restaurant
 Fitzgerald's,113 S. Spring St..,Los Angeles, CA,34.052682,-118.244463,Restaurant
from you. Fitzgerald's,113 S. Spring St..,Los Angeles, CA,34.052682,-118.244463,Restaurant
,114 1/2 S. Main St.,Los Angeles, CA,34.05171,-118.24362,Restaurant
and shoe house,116 S. Spring St.,Los Angeles, CA,34.052645,-118.244492,Restaurant
and shoe house,116 S. Spring St.,Los Angeles, CA,34.052645,-118.244492,Restaurant
shoe house,116 S. Spring St.,Los Angeles, CA,34.052645,-118.244492,Restaurant
Gardner Piano House,118 WinSt.on St.,Los Angeles, CA,34.047002,-118.247362,Restaurant
Stubbs' Restaurant,119 San Pedro St.,Los Angeles, CA,34.050294,-118.241118,Restaurant
,119 to 125 N. Spring St.,Los Angeles, CA,33.919198,-118.253,Restaurant
props,119 to 125 N. Spring St..,Los Angeles, CA,33.919198,-118.253,Restaurant
props,119 to 125 N. Spring St..,Los Angeles, CA,33.919198,-118.253,Restaurant
Spear's Dept Store,125 Vine St.,Los Angeles, CA,34.096617,-118.326499,Restaurant
taken in exchange,131 S. Broadway,Los Angeles, CA,34.053349,-118.245931,Restaurant
taken in exchange,131 S. Broadway,Los Angeles, CA,34.053349,-118.245931,Restaurant
and wood,131 San Pedro St.,Los Angeles, CA,34.04979,-118.24166,Restaurant
store at,135 E. Second St.,Los Angeles, CA,34.050565,-118.243584,Restaurant
R. Hertel,136 E. Colorado St.,Pasadena, CA,34.145607,-117.999429,Restaurant
Nicoll the tailor,142 S. Spring St.,Los Angeles, CA,34.052317,-118.244745,Restaurant
the tailor,142 S. Spring St.,Los Angeles, CA,34.052317,-118.244745,Restaurant
Nicoll the tailor,142 S. Spring St..,Los Angeles, CA,34.052317,-118.244745,Restaurant
"Shoe Shining Parlor, W.H. Washiington",146 S. Spring St..,Los Angeles, CA,34.052267,-118.244784,Restaurant
Shoe Shining Parlor,146 S. Spring St..,Los Angeles, CA,34.052267,-118.244784,Restaurant
Shining Parlor,146 S. Spring St..,Los Angeles, CA,34.052267,-118.244784,Restaurant
and,157 Wilson block Cor. Spring St. and FirSt.,Los Angeles, CA,34.026312,-118.234975,Restaurant
and,157 Wilson block Spring and FirSt. St.reets,Los Angeles, CA,34.026312,-118.234975,Restaurant
Store,162-164 N. Main St.,Los Angeles, CA,34.052713,-118.242807,Restaurant
,171 AND 173 N. Spring St.,Los Angeles, CA,34.05471,-118.483482,Restaurant
